epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.53,0.87385,1.10931,0.96086,0.56144,0.44796,0.47856,0.36537,0.73101,0.83129,0.9047,0.000133289,0.000133289,0.000133289
2,1528.81,0.80079,0.86306,0.93795,0.71554,0.46073,0.54878,0.41569,0.71782,0.77575,0.90003,0.000266362,0.000266362,0.000266362
3,2036.55,0.77818,0.82676,0.93208,0.53619,0.56936,0.52741,0.42143,0.65275,0.75492,0.89494,0.000398394,0.000398394,0.000398394
4,2542.89,0.76249,0.81022,0.92898,0.61005,0.60412,0.58915,0.47177,0.6619,0.71519,0.89102,0.000396493,0.000396493,0.000396493
5,3051.28,0.73884,0.76797,0.92018,0.58706,0.56568,0.59437,0.4718,0.61945,0.69101,0.87884,0.000393779,0.000393779,0.000393779
6,3561.23,0.72601,0.75557,0.91627,0.61092,0.5516,0.57161,0.45993,0.63266,0.71848,0.8846,0.000390309,0.000390309,0.000390309
7,4071.15,0.71457,0.73541,0.91089,0.57075,0.64191,0.60627,0.4892,0.61506,0.69094,0.87964,0.000386096,0.000386096,0.000386096
8,4581.55,0.70349,0.72516,0.90913,0.66344,0.58947,0.60233,0.48799,0.59532,0.66464,0.87225,0.000381156,0.000381156,0.000381156
9,5157.81,0.69324,0.71928,0.90723,0.65547,0.56522,0.5849,0.47838,0.59918,0.67302,0.87454,0.000375509,0.000375509,0.000375509
10,5772.07,0.6885,0.70449,0.90494,0.69408,0.59174,0.62017,0.49764,0.58159,0.65776,0.87187,0.000369177,0.000369177,0.000369177
11,6337.94,0.6776,0.69012,0.90041,0.66962,0.60408,0.63391,0.50779,0.5814,0.64222,0.87021,0.000362185,0.000362185,0.000362185
12,6940.31,0.67104,0.68455,0.89784,0.64025,0.67415,0.64923,0.524,0.58156,0.63389,0.86979,0.000354562,0.000354562,0.000354562
13,7578.02,0.66569,0.67251,0.89608,0.67175,0.58266,0.63582,0.52294,0.57716,0.63106,0.86463,0.000346336,0.000346336,0.000346336
14,8220.91,0.65655,0.66319,0.89402,0.70866,0.60914,0.64665,0.52435,0.56524,0.63227,0.86548,0.00033754,0.00033754,0.00033754
15,8852.18,0.65164,0.65798,0.89196,0.6156,0.61641,0.64345,0.52241,0.57094,0.63218,0.86632,0.00032821,0.00032821,0.00032821
16,9491.95,0.64532,0.64865,0.89118,0.64128,0.65003,0.6338,0.51632,0.55771,0.62907,0.86308,0.000318381,0.000318381,0.000318381
17,10116.4,0.64284,0.64119,0.88915,0.65191,0.66965,0.67123,0.55422,0.55783,0.61279,0.86004,0.000308094,0.000308094,0.000308094
18,10737.9,0.63608,0.63491,0.88662,0.63539,0.62746,0.66122,0.54213,0.55052,0.61304,0.85849,0.000297387,0.000297387,0.000297387
19,11363.2,0.63119,0.6267,0.88621,0.68349,0.60522,0.64412,0.53252,0.55362,0.60548,0.86002,0.000286304,0.000286304,0.000286304
20,11989.5,0.62521,0.62302,0.88415,0.67283,0.65612,0.66765,0.55353,0.54788,0.60185,0.85928,0.000274889,0.000274889,0.000274889
21,12616.7,0.61983,0.61286,0.88257,0.7002,0.6607,0.66632,0.55321,0.54145,0.61429,0.8588,0.000263185,0.000263185,0.000263185
22,13249.1,0.61361,0.6138,0.88002,0.69438,0.62493,0.67849,0.55137,0.53925,0.60705,0.85448,0.000251241,0.000251241,0.000251241
23,13865.2,0.61228,0.60284,0.88151,0.6758,0.67929,0.68191,0.565,0.53602,0.60349,0.85517,0.000239102,0.000239102,0.000239102
24,14414.7,0.60459,0.59371,0.87818,0.67135,0.63651,0.67323,0.55366,0.53521,0.59636,0.85402,0.000226816,0.000226816,0.000226816
25,14912.7,0.60098,0.586,0.87503,0.71235,0.62739,0.67474,0.55875,0.53221,0.58487,0.85455,0.000214433,0.000214433,0.000214433
26,15410.5,0.59474,0.58238,0.87452,0.70722,0.67508,0.70064,0.57742,0.52626,0.59035,0.85171,0.000202,0.000202,0.000202
27,15904.9,0.59121,0.57336,0.87232,0.70887,0.62546,0.6655,0.55444,0.52852,0.58566,0.85398,0.000189567,0.000189567,0.000189567
28,16396.5,0.58725,0.56608,0.87318,0.65953,0.69731,0.6851,0.57637,0.5277,0.59416,0.85309,0.000177184,0.000177184,0.000177184
29,16887.6,0.58187,0.55949,0.87028,0.70775,0.64801,0.67869,0.56702,0.5226,0.58698,0.85087,0.000164898,0.000164898,0.000164898
30,17383.2,0.57725,0.55321,0.86944,0.71752,0.64411,0.69887,0.578,0.5224,0.58153,0.84992,0.000152759,0.000152759,0.000152759
31,17885,0.57399,0.54699,0.86792,0.73506,0.61678,0.69495,0.57677,0.51852,0.57729,0.84998,0.000140815,0.000140815,0.000140815
32,18386.3,0.56908,0.54683,0.86616,0.71082,0.66753,0.70288,0.58616,0.51997,0.57949,0.84982,0.000129111,0.000129111,0.000129111
33,18882.5,0.56547,0.53658,0.86479,0.69575,0.64544,0.69902,0.58395,0.51775,0.58212,0.84887,0.000117696,0.000117696,0.000117696
